indivi	master	datmet	datmea	datstd	locate	countr	latitu	longit	warnin	timind	sntind
PAPV_27_noUDG.SG	PAPV_27	Context	425	14	Panama__City,__Sur__de__la__Plaza	Panama	9.01	-79.49	..	FALSE	TRUE
PAPV_137_noUDG.SG	PAPV_137	Direct	990	38	Panama__City,__Plaza__Casas__Oeste	Panama	9.01	-79.49	date__doesn't__match__European__ancestry__signature	FALSE	FALSE
PAPV_114_noUDG.SG	PAPV_114	Direct	1316	18	Panama__City,__Plaza__Mayor	Panama	9.01	-79.49	..	FALSE	TRUE
PAPV_117_noUDG.SG	PAPV_117	Direct	944	16	Panama__City,__Plaza__Mayor	Panama	9.01	-79.49	..	FALSE	TRUE
PAPV_118_noUDG.SG	PAPV_118	Direct	610	37	Panama__City,__Plaza__Mayor	Panama	9.01	-79.49	..	FALSE	TRUE
PAPV_146_noUDG.SG	PAPV_146	Direct	1061	56	Panama__City,__Parque__Morelos	Panama	9	-79.49	..	FALSE	TRUE
PAPV_167_noUDG.SG	PAPV_167	Direct	1023	41	Panama__City,__Parque__Morelos	Panama	9	-79.49	..	FALSE	TRUE
PAPV_172_noUDG.SG	PAPV_172	Direct	763	31	Panama__City,__Coco__del__Mar	Panama	9	-79.5	..	FALSE	TRUE
PAPV_173_noUDG.SG	PAPV_173	Direct	547	25	Panama__City,__Coco__del__Mar	Panama	9	-79.5	..	FALSE	TRUE
PAPV_174_noUDG.SG	PAPV_174	Direct	603	29	Panama__City,__Coco__del__Mar	Panama	9	-79.5	..	FALSE	TRUE
PAPV_175_noUDG.SG	PAPV_175	Direct	1237	41	Panama__City,__Coco__del__Mar	Panama	9	-79.5	..	FALSE	TRUE
S_Papuan-2.DG	HGDP00540	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-3.DG	HGDP00541	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-4.DG	HGDP00543	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-5.DG	HGDP00545	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
B_Papuan-15.DG	HGDP00546	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-6.DG	HGDP00547	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-7.DG	HGDP00548	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-8.DG	HGDP00549	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-1.DG	HGDP00550	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-13.DG	HGDP00552	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-10.DG	HGDP00553	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-14.DG	HGDP00554	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-11.DG	HGDP00555	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
S_Papuan-12.DG	HGDP00556	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	FALSE
HGDP00540.DG	HGDP00540	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	TRUE
HGDP00541.DG	HGDP00541	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	TRUE
HGDP00543.DG	HGDP00543	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	TRUE
HGDP00545.DG	HGDP00545	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	TRUE
HGDP00546.DG	HGDP00546	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	TRUE
HGDP00547.DG	HGDP00547	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	TRUE
HGDP00548.DG	HGDP00548	Modern	0	0	New__Guinea,__Iatmul__and__Kwoma__societies__of__the__Middle__Sepik__River__region	Papua__New__Guinea	-4	143	..	FALSE	TRUE
